Case #,Incident Code,Reported,Case Status,Start Occurred,End Occurred,Building,Location,Stolen,Damaged,Description,,
13003461,LARCENY - STOLEN BIKE,9/20/2013 10:03,Inactive,9/20/2013 9:30,9/20/2013 9:50,H.C. Filley Hall,"1625 Arbor Dr (UNL SUPPORT FACILITY (office, service))",$100.00,$0.00,Unlocked blue 21-speed Mongoose bicycle stolen from south side of building.,,
13003462,"PROPERTY DAMAGE - UNINTENTIONAL,NON TRAFFIC",9/20/2013 10:04,Cleared by Exception,9/19/2013 13:22,9/19/2013 14:19,Splinter Laboratories,2000 North 35th St (GOVT LOT/FIELD (UNL)),$0.00,$150.00,"Tractor trailer drove over turf while negotiating a turn, damaging the grass and striking a sign.",,
13003466,LARCENY - STOLEN BIKE,9/20/2013 11:56,Inactive,9/19/2013 19:30,9/20/2013 10:15,The Village,1055 North 16 St. (UNL RESIDENCE HALL),$310.00,$0.00,Brown Fuji Sunfire bicycle stolen from the southeast side of the building while locked with a combination cable lock.,,
13003472,LARCENY - STOLEN BIKE,9/20/2013 13:59,Inactive,9/19/2013 12:00,9/20/2013 10:20,Walter Scott Engineering Center,844 North 16th St (UNL ACADEMIC BUILDING),$110.00,$0.00,White and pink Next bicycle stolen from under the Link while secured with a combination cable lock.,,
13003474,FRAUD - CREDIT CARDS/ATM/BANK CARD,9/20/2013 16:37,Inactive,9/19/2013 0:00,9/20/2013 16:37,Memorial Stadium,740 Stadium Dr. (UNKNOWN),$0.00,$0.00,Staff member reporting unauthorized use of credit card.,,
13003476,TRESPASSING,9/20/2013 18:29,Cleared by Exception,9/20/2013 18:29,,Wick Alumni Center,"1520 R St (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,Ofc. responded to the Wick Alumni Center on 6 juvenile males skateboarding.,,
13003479,LOST OR STOLEN ITEM,9/20/2013 21:12,Inactive,9/20/2013 20:40,,Memorial Stadium,"740 Stadium Dr. (UNL SUPPORT FACILITY (office, service))","$7,300.00",$0.00,Ofc. was dispatched to the UNLPD substation in regards to a person who had lost their bracelet.,,
13003480,LOST OR STOLEN ITEM,9/20/2013 22:36,Cleared by Exception,9/20/2013 18:20,9/20/2013 21:40,The Courtyards,733 North  17th  St. (UNL RESIDENCE HALL),$60.00,$0.00,Ofc. was dispatched to the Courtyards front desk in regards to a UNL student that had lost their phone.  Phone was lost between Misty's restaurant in Havelock and the Courtyards.,,
13003481,ALCOHOL - MINOR IN POSSESSION,9/21/2013 0:08,Cleared by Arrest,9/21/2013 0:08,,,VINE ST & N 16TH ST (SIDEWALK),$0.00,$0.00,"Ofc. contacted two UNL students near 16th and Vine St.  One male was being carried by the other.  One of the students was placed into protective custody, cited for MIP, and turned over to Detox staff.",,
13003482,ALCOHOL - MINOR IN POSSESSION,9/21/2013 1:02,Cleared by Arrest,9/21/2013 1:02,,University Suites,"1780 ""R"" Street (UNL RESIDENCE HALL)",$0.00,$0.00,UNL student taken to detox (.286 BAC) and cited for MIP and Trespassing.,,
13003483,ALCOHOL - DRUNK,9/21/2013 1:06,Cleared by Exception,9/21/2013 1:06,,Theta Xi,1535 R St (OFF CAMPUS/GREEK HOUSING),$0.00,$0.00,Ofc. dispatched to the Theta Xi fraternity on an intoxicated male. Male was transported to Detox.,,
13003485,ALCOHOL - MINOR IN POSSESSION,9/21/2013 1:52,Cleared by Arrest,9/21/2013 1:52,9/21/2013 1:52,University Suites,"1780 ""R"" Street (UNL RESIDENCE HALL)",$0.00,$0.00,"Officers were dispatched to the University Suites on an intoxicated UNL student resident.  Male was contacted, placed into protective custody, cited for MIPC, and turned over to Detox.  BAC. 0.211.",,
13003500,ALCOHOL - MINOR IN POSSESSION,9/21/2013 3:05,Cleared by Arrest,9/21/2013 3:05,,Memorial Stadium,"1100 T St. (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,A non-student was cited for MIPC and transported to Detox. BrAc 0.303.,,
13003487,TRAFFIC - SUSPENDED DRIVER,9/21/2013 8:25,Cleared by Arrest,9/21/2013 8:25,,,N 17TH ST & X ST (STREET),$0.00,$0.00,Non-student stopped for failing to signal turns.  Cited/released for Driving Under Suspension.,,
13003490,FIRE (WORKING) - NO ALARM,9/21/2013 11:02,Cleared by Exception,9/21/2013 11:02,,Sheldon Memorial Art Gallery,451 North 12th St (SIDEWALK),$0.00,$0.00,Trash can started to emit smoke.  Unknown cause.,,
13003495,ALCOHOL - MINOR IN POSSESSION,9/21/2013 14:12,Cleared by Arrest,9/21/2013 14:12,,,10th and T Streets (STREET),$0.00,$0.00,UNL student cited for MIP (.048 BAC) during the football game.,,
13003496,ALCOHOL - MINOR IN POSSESSION,9/21/2013 14:32,Cleared by Arrest,9/21/2013 14:32,,Memorial Stadium,"740 Stadium Dr. (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,Ofc. contacted two minor non-UNL females outside Memorial Stadium near gate 18.  Both were found to be intoxicated and unable to care for themselves.  They were cited for MIPC and turned over to stadium processing staff.  BAC 0.186 and 0.148.,,
13003497,FRAUD - CON GAMES/DECEPTION/FALSE    PRETENSE/OTHER,9/21/2013 14:36,Inactive,9/21/2013 14:36,,,N 10TH ST & T ST (STREET),$0.00,$0.00,Report of a male party purchasing stolen football tickets from an unknown person outside of Memorial Stadium.,,
13003498,LARCENY - FROM BUILDING,9/21/2013 14:49,Cleared by Arrest,,,Memorial Stadium,"740 Stadium Dr. (UNL SUPPORT FACILITY (office, service))",$50.00,$0.00,Two UNL students cited/released for Theft. They were wearing security vests that they admitted stealing after a previous game.,,
13003501,ALCOHOL - MINOR IN POSSESSION,9/21/2013 15:02,Cleared by Arrest,9/21/2013 15:02,,Memorial Stadium,"740 Stadium Dr. (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,UNL student contacted for showing signs of intoxication.  Cited for MIP and taken to detox (.294 BAC).,,
13003502,ALCOHOL - MINOR IN POSSESSION,9/21/2013 16:41,Cleared by Arrest,9/21/2013 16:41,,Memorial Stadium,"740 Stadium Dr. (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,Non-student contacted during the football game.  Cited for MIP (.255 BAC) and taken to detox.,,
13003503,ALCOHOL - DRUNK,9/21/2013 18:13,Cleared by Exception,9/21/2013 18:13,,Morrill Hall,"1335 U St (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,UNL student found passed out and transported to detox (.180 BAC).,,
13003506,VANDALISM - OTHER,9/21/2013 22:43,Inactive,9/15/2013 18:00,9/21/2013 22:40,17 & R Parking Garage,300 North 17th St (GOVT PARKING GARAGE (UNL)),$0.00,$30.00,Student reports vandalism to vehicle.  Damage estimated at $30.00.,,
13003508,LARCENY - STOLEN BIKE,9/22/2013 1:12,Cleared by Arrest,9/22/2013 1:12,,300 N. 17th St,300 N 17th St (SIDEWALK),$201.00,$0.00,Juvenile contacted for stealing a bike.  Cited/released for Theft.,,
13003509,ALCOHOL - MINOR IN POSSESSION,9/22/2013 2:06,Cleared by Arrest,9/22/2013 2:06,,,N 17TH ST & VINE ST (STREET),$0.00,$0.00,2 students contacted on a traffic stop.  1 student cited/released for MIPC (.215 BrAC).,,
13003512,DISTURBANCE - OTHER,9/22/2013 3:57,Inactive,9/22/2013 1:30,9/22/2013 3:57,Theta Xi,1535 R St (OFF CAMPUS/GREEK HOUSING),$0.00,$0.00,Another fraternity stole items and trashed an area of the reporting fraternty's house.,,
13003513,MEDICAL EMERGENCY,9/22/2013 4:09,Cleared by Exception,9/22/2013 4:09,,Robert E. Knoll Residence Center,440 N 17th Street (UNL RESIDENCE HALL),$0.00,$0.00,LFR and UNLPD dispatched to an unconscious UNL student in the hallway. Student found to be very intoxicated and transported to hospital by LFR. Unable to obtain BrAC.,,
13003514,LARCENY - STOLEN BIKE,9/22/2013 9:12,Cleared by Arrest,9/22/2013 9:10,,Brace Physics Lab,510 Stadium Dr (SIDEWALK),$201.00,$0.00,Non-student cited and lodged for Theft by Unlawful taking after stealing a bicycle owned by UNLPD.,,
13003515,FRAUD - CREDIT CARDS/ATM/BANK CARD,9/22/2013 12:27,Cleared by Arrest,9/22/2013 12:27,,,240 N. 17th (GAS/SERVICE STATION),$0.00,$0.00,"Person arrested and lodged for Unauthorized Use of a Financial Transaction device less then $200 and Theft by receiving Stolen Property less then $200, This occurred at the U Stop at 17th and Q Street.",,
13003521,VANDALISM - OTHER,9/22/2013 19:47,Inactive,9/16/2013 0:00,,515 N 19th Parking Lot Vine to,515 North 19th St. (GOVT PARKING LOT (UNL)),$0.00,$50.00,Student reports damage to vehicle tire.  Damage estimated at $50.00.,,
13003522,ALCOHOL - DRUNK,9/22/2013 19:57,Cleared by Exception,9/22/2013 19:57,,,N 13TH ST & P ST (SIDEWALK),$0.00,$0.00,Transient contacted for intoxication.  Transported to Detox (.258 BrAC).,,
13003526,LARCENY - STOLEN BIKE,9/23/2013 1:42,Cleared by Arrest,9/23/2013 1:42,,Behlen Physics Lab,500 Stadium Dr (UNL ACADEMIC BUILDING),$201.00,$0.00,Non-student arrested for stealing a bike.  Cited/released for Theft and Banned and Barred.,,
13003529,TRAFFIC - SUSPENDED DRIVER,9/23/2013 11:21,Cleared by Arrest,9/23/2013 11:21,,,N 17TH ST & Y ST (STREET),$0.00,$0.00,Non-student contacted on a traffic stop.  Cited and lodged for Driving Under Suspension.,,
13003531,ASSAULT - NON DOMESTIC,9/23/2013 13:03,Inactive,9/21/2013 13:00,9/21/2013 14:00,Stadium Drive Parking Garage,625 Stadium Dr (STREET),$0.00,$0.00,Non-student reports assault during football game. Investigation continues.,,
13003534,DISTURBANCE - OTHER,9/23/2013 14:04,Cleared by Arrest,9/23/2013 13:00,,College of Dentistry,4000 East Campus Loop South (UNL ACADEMIC BUILDING),$0.00,$0.00,"Person cited for disturbing the peace at the College of Dentistry, also ban and barred from the College of Dentistry, taken to Detox and turned over to staff with a BAC of .285.",,
13003542,MEDICAL EMERGENCY,9/23/2013 23:16,Cleared by Exception,9/23/2013 23:16,,Harper Hall,1150 North 14th St (UNL RESIDENCE HALL),$0.00,$0.00,Student suffered a medical emergency. Transported to the hospital. Not life threatening.,,
13003545,MEDICAL EMERGENCY,9/24/2013 8:04,Cleared by Exception,9/24/2013 8:04,,Teachers College Hall,1400 Vine St (UNL ACADEMIC BUILDING),$0.00,$0.00,Report of a student fainting.  Transported to Bryan/LGH West for further treatment.,,
13003546,LARCENY - FROM BUILDING,9/24/2013 9:07,Cleared by Arrest,9/19/2013 17:53,9/19/2013 18:02,Union-East,"1705 Arbor Dr (UNL SUPPORT FACILITY (office, service))",$35.00,$200.00,UNL staff report damage to a refrigerator and theft of a freezer unit.,,
13003547,ACCIDENTS - P.D. H&R NOT REPORTABLE,9/24/2013 9:10,Inactive,9/23/2013 12:20,9/23/2013 13:45,, (GOVT PARKING LOT (UNL)),$0.00,"$1,200.00",Damage to the rear passenger side bumper while vehicle was parked and unattended.,,
13003549,LARCENY - FROM BUILDING,9/24/2013 10:32,Inactive,9/18/2013 9:00,9/21/2013 21:00,Nebraska Union,"1400 R St (UNL SUPPORT FACILITY (office, service))",$130.00,$0.00,Theft of cash from business.,,
13003553,TRESPASSING,9/24/2013 13:59,Cleared by Arrest,9/24/2013 13:59,,Union-City,"1400 R St (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,Non student cited/released for 2nd Degree Trespass.,,
13003552,FIRE - FALSE ALARM,9/24/2013 14:24,Cleared by Exception,9/24/2013 13:24,,Cook Pavilion,"845 North 14th St (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,Fire alarm smoke head activated by dust.,,
13003555,LARCENY - STOLEN BIKE,9/24/2013 14:49,Inactive,9/23/2013 23:55,9/24/2013 8:30,Cather Hall,609 North 17th St (UNL RESIDENCE HALL),$365.00,$0.00,"Bike taken from rack at west end of Cather Hall, $365 loss.",,
13003557,ACCIDENTS - P.D. H&R NOT REPORTABLE,9/24/2013 15:37,Inactive,9/20/2013 23:00,9/24/2013 14:00,17 & R Parking Garage,300 North 17th St (GOVT PARKING GARAGE (UNL)),$0.00,"$1,200.00","Hit and Run accident in the 17th and R Street parking garage, $1200 damage.",,
13003556,LOST OR STOLEN ITEM,9/24/2013 15:43,Cleared by Exception,9/24/2013 14:00,9/24/2013 15:10,Andersen Hall,200 Centennial Mall North (UNL ACADEMIC BUILDING),$0.00,$0.00,Person reported losing his money clip but later found it.,,
13003559,ACCIDENTS - P.D. NOT REPORTABLE,9/24/2013 18:11,Inactive,9/24/2013 17:42,,Plant Sciences Hall,1875 North 38th St (GOVT PARKING LOT (UNL)),$0.00,$500.00,Ofc. responded to the UNLPD front counter in reference to a belated non injury accident occurring in the parking lost on the southeast corner of 38th and Fair.,,
13003560,AUTO THEFT,9/24/2013 18:41,Cleared by Exception,9/23/2013 0:00,9/24/2013 17:00,19th/Vine Parking Garage,1830 Vine St. (GOVT PARKING GARAGE (UNL)),"$6,000.00",$0.00,"Vehicle stolen from the 19th and Vine parking garage, $6000 loss.",,
13003561,LARCENY - STOLEN BIKE,9/24/2013 19:19,Cleared by Exception,9/18/2013 6:30,,Memorial Stadium,740 Stadium Dr. (SIDEWALK),$165.00,$0.00,Victim reported her bike stolen from the south side of the Stadium.  Bike was turned into UNLPD and was then returned to the victim.  Case is cleared by exception.,,
13003562,FIRE - FALSE ALARM,9/24/2013 20:27,Unfounded,9/24/2013 20:27,,,"1800 State Fair Park Drive (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,"Ofc. and LFR were dispatched to the Ice Box on a fire alarm.  There was no fire, the alarm was set off by diesel fumes from a man lift.",,
13003573,LOST OR STOLEN ITEM,9/25/2013 12:31,Inactive,9/24/2013 9:30,9/24/2013 15:15,,City Of Lincoln (UNKNOWN),$36.00,$0.00,Report of a lost Mont Blanc Leather Wallet and contents.,,
13003576,DISTURBANCE - OTHER,9/25/2013 14:26,Cleared by Exception,9/25/2013 14:26,9/25/2013 15:49,Jackie Gaughan Multicultural Center,"1505 S St (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,UNL student wished to provide information and obtain clarification on an ongoing case.,,
13003577,ACCIDENTS - P.D. H&R NOT REPORTABLE,9/25/2013 18:17,Inactive,9/23/2013 12:00,9/25/2013 18:17,19th/Vine Parking Garage,1830 Vine St. (GOVT PARKING GARAGE (UNL)),$0.00,$275.00,UNL student reported his vehicle was damaged either in the 19th and Vine parking garage or the Best Buy parking lot.,,
13003579,TRAFFIC - SUSPENDED DRIVER,9/25/2013 20:44,Cleared by Arrest,9/25/2013 20:44,9/25/2013 20:44,,N 16TH ST & S ST (STREET),$0.00,$0.00,Ofc. conducted a traffic stop near 16th and P St.  Driver was cited for DUS and two head lights required at night.,,
13003582,TRESPASSING,9/26/2013 0:25,Cleared by Arrest,9/25/2013 21:25,9/26/2013 0:25,Oldfather Hall,660 North 12th St (UNL ACADEMIC BUILDING),$0.00,$0.00,"Ofc. was dispatched to Old Father Hall in regards to a trespass in progress.  The male was contacted, cited for trespassing, and was transported to the City Mission.",,
13003583,ALCOHOL - MINOR IN POSSESSION,9/26/2013 0:45,Cleared by Arrest,9/26/2013 0:40,9/26/2013 0:45,Sandoz Hall,820 North 17th St (UNL RESIDENCE HALL),$0.00,$0.00,"Ofc. was informed by dispatch that they cold see a female attempting to walk into Sandoz Hall and she appeared to be very intoxicated.  Female was contacted, cited for MIPC and transported to Detox.  BAC 0.256 on a weak sample.",,
13003584,LOST OR STOLEN ITEM,9/26/2013 1:56,Inactive,8/20/2013 0:00,9/22/2013 0:00,Selleck Quad,600 North 15th St (UNL RESIDENCE HALL),"$4,000.00",$0.00,"Ofc. dispatched to Selleck Hall in reference to a student losing $4,000.  No suspects at this time.",,
13003588,VANDALISM - OTHER,9/26/2013 9:17,Cleared by Exception,9/25/2013 23:00,9/26/2013 6:00,Delta Upsilon,1548 Vine St. (OFF CAMPUS/GREEK HOUSING),$0.00,$10.00,Report of fecal matter placed on windshield of parked vehicle.,,
13003593,VANDALISM - BY GRAFFITI,9/26/2013 12:49,Inactive,9/1/2013 8:00,9/25/2013 8:00,Nebraska Union,1400 R St (SIDEWALK),$0.00,$50.00,Report of six small circles on the side of a bench.,,
13003599,LARCENY - FROM BUILDING,9/26/2013 18:12,Inactive,9/26/2013 17:00,9/26/2013 18:12,Campus Recreation Center,"841 North 14th St (UNL SUPPORT FACILITY (office, service))",$700.00,$0.00,A UNL student reported his iPhone 5 lost or stolen from Campus Rec.,,
13003601,OUTSIDE - O.P.S. OTHER,9/26/2013 21:30,Cleared by Exception,9/26/2013 21:30,,Union-City,"1400 R St (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,Non-UNL student was contacted for sending text messages about K2. Party was later turned over to LPD for involvement in possible sexual assault.,,
13003604,ALCOHOL - MINOR IN POSSESSION,9/27/2013 0:23,Cleared by Arrest,9/27/2013 0:23,,Phi Delta Theta,1545 R St. (OFF CAMPUS/GREEK HOUSING),$0.00,$0.00,UNL student contacted behind his fraternity due to him appearing to be intoxicated. Transported to Detox and cited for MIP-C. (.210 BAC),,
13003605,ALCOHOL - MINOR IN POSSESSION,9/27/2013 1:48,Cleared by Arrest,9/27/2013 1:48,,Sigma Alpha Epsilon,635 North 16th St. (OFF CAMPUS/GREEK HOUSING),$0.00,$0.00,"UNL student was observed to urinate of the side of a building. Student ran from CSO, then ignored Officer's order to stop and entered his fraternity house. PR was contacted inside the house and cited for MIP-C and Fail to Comply. (Refused PBT. )",,
13003606,TRESPASSING,9/27/2013 5:54,Cleared by Exception,9/27/2013 5:54,,Mabel Lee Hall,840 North 14th St (GOVT LOT/FIELD (UNL)),$0.00,$0.00,Non-UNL student was contacted for sleeping in the bushes near Mabel Lee hall. He was also contacted by LPD earlier in the night on campus. He was issued trespass policy letter.,,
13003608,FIRE - FALSE ALARM,9/27/2013 9:36,Cleared by Exception,9/27/2013 9:36,,Lambda Chi Alpha,1645 R St (OFF CAMPUS/GREEK HOUSING),$0.00,$0.00,A fire alarm was activated at Lambda Chi Alpha due to cooking. No damage.,,
13003607,LARCENY - FROM BUILDING,9/27/2013 9:58,Inactive,8/27/2013 9:58,9/26/2013 13:30,Facilities Management Shops,"942 North 22nd St (UNL SUPPORT FACILITY (office, service))",$15.00,$0.00,Report of unknown person or persons removing a decontaminate agent from storage closet.,,
13003609,ACCIDENTS - P.D. H&R NOT REPORTABLE,9/27/2013 12:16,Inactive,,,, (UNKNOWN),$0.00,$200.00,UNL student reported damage to their vehicle occurring at an unknown location/time.,,
13003616,ALCOHOL - MINOR IN POSSESSION,9/27/2013 20:39,Cleared by Arrest,9/27/2013 20:39,,,N 27TH ST & HOLDREGE ST (STREET),$0.00,$0.00,"Non-student contacted on a traffic stop. Cited/released for CCW, MIP, Open Container and No Valid License.",,
13003619,FIRE - FALSE ALARM,9/27/2013 21:50,Cleared by Exception,9/27/2013 21:50,,Morrill Hall,"1335 U St (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,Fire alarm activated due to electrical smell. Faulty breaker.  No damage.,,
13003620,FIRE - FALSE ALARM,9/27/2013 22:36,Cleared by Exception,9/27/2013 22:36,,Pi Kappa Phi,519 N 16th Street (OFF CAMPUS/GREEK HOUSING),$0.00,$0.00,Fire alarm caused by fog machine.  No damage.,,
13003603,BURGLARY,9/27/2013 23:04,Inactive,9/25/2013 14:00,9/26/2013 17:00,The Courtyards,733 North  17th  St. (UNL RESIDENCE HALL),$66.00,$0.00,UNL student reported entry was gained to his room at the courtyards and he is missing cash.,,
13003623,ALCOHOL - MINOR IN POSSESSION,9/28/2013 0:41,Cleared by Arrest,9/28/2013 0:41,,The Village,1055 North 16 St. (UNL RESIDENCE HALL),$0.00,$0.00,5 students contacted on an alcohol complaint.  All 5 cited/released for MIP.,,
13003624,ALCOHOL - DWI,9/28/2013 1:52,Cleared by Arrest,9/28/2013 1:52,,,N 17TH ST & X ST (STREET),$0.00,$0.00,Non-student contacted on a traffic stop.  Cited/Detox for DUI (.169 BrAC) and Speeding.,,
13003626,FND ARTICLE OTHER THAN ABAND. BIKE OR VEH.,9/28/2013 3:13,Cleared by Arrest,9/28/2013 3:13,,,1411 Q Street (RESTAURANT),$0.00,$0.00,Found wallet containing fake ID.  Investigation continues.,,
13003627,MEDICAL EMERGENCY,9/28/2013 6:35,Cleared by Exception,9/28/2013 6:35,,Sandoz Hall,820 North 17th St (UNL RESIDENCE HALL),$0.00,$0.00,Student suffered a medical emergency.  Transported to the hospital.,,
13003656,LOST OR STOLEN ITEM,9/28/2013 10:20,Inactive,9/28/2013 0:30,9/28/2013 3:13,,1411 Q Street (UNKNOWN),$10.00,$0.00,Student reports loss of wallet and contents.,,
13003633,ACCIDENTS - P.D. H&R NOT REPORTABLE,9/28/2013 14:21,Inactive,9/25/2013 20:30,9/28/2013 13:00,515 N 19th Parking Lot Vine to,515 North 19th St. (GOVT PARKING LOT (UNL)),$0.00,$300.00,Report of a belated hit and run accident that occurred in the Knoll Residence Center.,,
13003635,TRAFFIC - SUSPENDED DRIVER,9/28/2013 15:26,Cleared by Arrest,9/28/2013 15:26,,,N 19TH ST & VINE ST (STREET),$0.00,$0.00,A non-student was cited/released for Driving Under Revocation.,,
13003640,ALCOHOL - MINOR IN POSSESSION,9/29/2013 0:42,Cleared by Arrest,9/29/2013 0:42,,,N 16TH ST & U ST (SIDEWALK),$0.00,$0.00,Student contacted for intoxication.  Cited/Detox for MIPC (.276 BrAC).,,
13003642,NARCOTICS - POSSESSION,9/29/2013 1:04,Cleared by Arrest,9/29/2013 1:04,,515 N 19th Parking Lot Vine to,515 North 19th St. (GOVT PARKING LOT (UNL)),$0.00,$0.00,1 student and 1 non-student contacted in a suspicious vehicle.  1 student cited/released for Poss Marijuana < 1 oz and Poss Drug Paraphernalia.,,
13003644,TRAFFIC - SUSPENDED DRIVER,9/29/2013 3:17,Cleared by Arrest,9/29/2013 3:17,,,EAST CAMPUS LOOP & FAIR ST (STREET),$0.00,$0.00,"Non-student contacted on a traffic stop.  Cited/released for DUS, No Insurance and No Registration.  Lodged on a warrant.",,
13003645,TRAFFIC - SUSPENDED DRIVER,9/29/2013 11:02,Cleared by Arrest,9/29/2013 11:02,,,ANTELOPE VALLEY PARKWAY & N 17TH ST (STREET),$0.00,$0.00,"Traffic stop of vehicle for improper turn, driver cited for Driving under Revocation.",,
13003646,LARCENY - FROM MOTOR VEHICLE,9/29/2013 13:27,Inactive,9/28/2013 20:30,9/29/2013 13:00,16th and Y st.,1030 N 16th Street (GOVT PARKING LOT (UNL)),$27.50,$0.00,"Person reporting license plates missing from his vehicle while it was park at 1030 N 16th Street, $14 loss.",,
13003647,TRAFFIC - SUSPENDED DRIVER,9/29/2013 15:09,Cleared by Arrest,9/29/2013 15:09,,,N 17TH ST & Y ST (STREET),$0.00,$0.00,"Traffic Stop resulted in the driver, a non-student, being cited for DUS, MIP, No valid registration, and No proof of financial responsibility.  A non-student passenger was cited for possession of drug paraphernalia and another non-student passenger was lodged on active warrants.",,
13003654,LARCENY - FROM BUILDING,9/29/2013 17:44,Inactive,9/29/2013 12:00,9/29/2013 17:30,Love Library North,"1300 R (UNL SUPPORT FACILITY (office, service))","$2,199.99",$0.00,Laptop computer stolen from within a backpack after being left unattended for five hours.,,
13003659,NARCOTICS - POSSESSION,9/29/2013 23:12,Cleared by Arrest,9/29/2013 23:12,,Sandoz Hall,820 North 17th St (UNL RESIDENCE HALL),$0.00,$0.00,2 students contacted on a narcotics call.  1 student cited/released for Poss Marijuana < 1 oz and Poss Drug Paraphernalia.,,
13003663,ACCIDENTS - P.D. H&R NOT REPORTABLE,9/30/2013 13:02,Cleared by Exception,9/30/2013 12:48,9/30/2013 12:52,Ruth Staples Child Development Lab,"1855 North 35th St (UNL SUPPORT FACILITY (office, service))",$0.00,$20.00,Ofc. was dispatched to Ruth Staples in regards to a property damage hit and run accident.,,
13003666,TRAFFIC - SUSPENDED DRIVER,9/30/2013 14:06,Cleared by Arrest,9/30/2013 14:06,,,ANTELOPE VALLEY PARKWAY & SALT CREEK RD (STREET),$0.00,$0.00,Vehicle stopped for improper lane change found to be DUS/DUR cited for same and lodged.,,
13003665,TRESPASSING,9/30/2013 15:04,Cleared by Arrest,9/30/2013 13:10,9/30/2013 13:59,Neihardt Residence Center,540 North 16th St (UNL RESIDENCE HALL),$0.00,$0.00,Person arrested for Trespassing as they had been ban and barred from campus (Case 13003424) and lodged.,,
13003668,LARCENY - STOLEN BIKE,9/30/2013 19:40,Inactive,9/29/2013 20:45,9/30/2013 18:15,Smith Hall,1120 North 14th St (SIDEWALK),$100.00,$0.00,Student reports theft of bicycle.  Loss estimated at $90.00.,,
13003672,NARCOTICS - POSSESSION,10/1/2013 1:56,Cleared by Arrest,10/1/2013 1:56,,,N 17TH ST & VINE ST (STREET),$0.00,$0.00,Student contacted on a traffic stop.  Cited/released for Poss Marijuana < 1 oz and Poss Drug Paraphernalia.,,
13003673,TRAFFIC - SUSPENDED DRIVER,10/1/2013 5:21,Cleared by Arrest,10/1/2013 5:21,,,STADIUM DR & Salt Creek RDWY (STREET),$0.00,$0.00,Non-student contacted on a traffic stop.  Cited/released for DUS.,,
13003674,LARCENY - FROM BUILDING,10/1/2013 8:40,Cleared by Arrest,9/24/2013 8:00,10/1/2013 8:40,Bob Devaney Sports Center,"1600 Court St (UNL SUPPORT FACILITY (office, service))","$1,625.00",$0.00,Report of items taken from unlocked office.,,
13003677,LARCENY - FROM BUILDING,10/1/2013 10:26,Cleared by Exception,9/30/2013 14:00,9/30/2013 16:00,Pi Kappa Phi,519 N 16th Street (OFF CAMPUS/GREEK HOUSING),$600.00,$0.00,Report of a missing iPhone taken from the fraternity.,,
13003681,DISTURBANCE - OTHER,10/1/2013 15:12,Inactive,9/29/2013 19:56,,Westbrook Music Building,1104 R St (UNL ACADEMIC BUILDING),$0.00,$0.00,Disturbing comments made on web page via a comment submittal.,,
13003680,LARCENY - STOLEN BIKE,10/1/2013 15:48,Cleared by Arrest,10/1/2013 11:00,10/1/2013 14:52,Brace Physics Lab,510 Stadium Dr (UNL ACADEMIC BUILDING),$150.00,$0.00,"Person stole UNLPD bike from rack by Brace Behlen, found riding bike by the Knoll's. Arrested for stealing the bike and possession of marihuana.",,
13003684,LARCENY - FROM BUILDING,10/1/2013 18:17,Inactive,10/1/2013 18:00,,Campus Recreation Center,"841 North 14th St (UNL SUPPORT FACILITY (office, service))",$380.00,$0.00,"Iphone 5S taken from the Campus Recreation Center, $380 loss.",,
13003685,SUSPICIOUS ITEM OR PACKAGE (NON-EXPLOSIVE),10/1/2013 20:27,Cleared by Exception,10/1/2013 20:49,,, (SINGLE FAMILY ﾖ off campus),$0.00,$0.00,Person receiving unwanted correspondence though the mail at the address.,,
13003686,MEDICAL EMERGENCY,10/1/2013 21:24,Cleared by Exception,10/1/2013 21:24,,Abel Hall,880 North 17th St (UNL RESIDENCE HALL),$0.00,$0.00,Ofc. and LFR were dispatched to Abel/Sandoz Welcome center in regards to a female fainting.  Female was transported to the hospital by LFR for further treatment.,,
13003694,ALCOHOL - MINOR IN POSSESSION,10/2/2013 1:27,Cleared by Arrest,10/2/2013 1:27,,Robert E. Knoll Residence Center,440 N 17th Street (UNL RESIDENCE HALL),$0.00,$0.00,"CSO requested an Ofc. in regards to an intoxicated female in the Knolls.  Ofc. contacted the female, cited her for MIPC, and she was turned over to a sober person.",,
13003695,ALCOHOL - MINOR IN POSSESSION,10/2/2013 1:48,Cleared by Arrest,10/2/2013 1:48,,University Suites,"1780 ""R"" Street (UNL RESIDENCE HALL)",$0.00,$0.00,"Ofc. observed a female UNL student to be sleeping in the hallway in University Suites.  She was contacted, cited for MIPC, and turned over to a sober person.",,
